Family name	Gene name	Genomic Reference	Gene Region	Transcript Region	GO terms
ABI3VP1	Solyc03g044110.1.1	SL2.40ch03	12083331-12084619	SL2.40ch03:12083331..12084619	GO:0006355
ABI3VP1	Solyc03g111410.2.1	SL2.40ch03	56052504-56063403	SL2.40ch03:56052504..56063403	GO:0006355
ABI3VP1	Solyc03g111500.2.1	SL2.40ch03	56155588-56162558	SL2.40ch03:56155588..56162558	"GO:0005737,GO:0006355"
ABI3VP1	Solyc04g015500.2.1	SL2.40ch04	5717054-5718455	SL2.40ch04:5717054..5718455	GO:0006355
ABI3VP1	Solyc04g064830.2.1	SL2.40ch04	55121110-55123177	SL2.40ch04:55121110..55123177	GO:0006355
ABI3VP1	Solyc04g079130.2.1	SL2.40ch04	61309179-61311733	SL2.40ch04:61309179..61311733	GO:0006355
ABI3VP1	Solyc04g079590.2.1	SL2.40ch04	61597480-61603476	SL2.40ch04:61597480..61603476	GO:0006355
ABI3VP1	Solyc05g017740.1.1	SL2.40ch05	18277602-18278596	SL2.40ch05:18277602..18278596	GO:0006355
ABI3VP1	Solyc05g041100.1.1	SL2.40ch05	48397763-48399402	SL2.40ch05:48397763..48399402	GO:0006355
ABI3VP1	Solyc06g007530.2.1	SL2.40ch06	1515845-1518702	SL2.40ch06:1515845..1518702	GO:0006355
ABI3VP1	Solyc06g034140.1.1	SL2.40ch06	20397157-20399301	SL2.40ch06:20397157..20399301	GO:0006355
ABI3VP1	Solyc06g073980.2.1	SL2.40ch06	42117163-42120125	SL2.40ch06:42117163..42120125	GO:0006355
ABI3VP1	Solyc06g074160.1.1	SL2.40ch06	42252005-42253561	SL2.40ch06:42252005..42253561	GO:0006355
ABI3VP1	Solyc06g082520.2.1	SL2.40ch06	44592516-44602333	SL2.40ch06:44592516..44602333	"GO:0005515,GO:0016564"
ABI3VP1	Solyc06g083590.2.1	SL2.40ch06	45240537-45243413	SL2.40ch06:45240537..45243413	"GO:0016563,GO:0003700"
ABI3VP1	Solyc06g083600.1.1	SL2.40ch06	45247406-45250350	SL2.40ch06:45247406..45250350	"GO:0016563,GO:0003700"
ABI3VP1	Solyc07g017470.1.1	SL2.40ch07	7243989-7244279	SL2.40ch07:7243989..7244279	GO:0006355
ABI3VP1	Solyc07g054630.2.1	SL2.40ch07	60218182-60225136	SL2.40ch07:60218182..60225136	GO:0006355
ABI3VP1	Solyc08g006190.1.1	SL2.40ch08	894407-897998	SL2.40ch08:894407..897998	GO:0003700
ABI3VP1	Solyc08g006200.1.1	SL2.40ch08	900078-905985	SL2.40ch08:900078..905985	GO:0003700
ABI3VP1	Solyc08g006210.1.1	SL2.40ch08	907768-911493	SL2.40ch08:907768..911493	GO:0003700
ABI3VP1	Solyc08g006220.2.1	SL2.40ch08	912609-915803	SL2.40ch08:912609..915803	GO:0003700
ABI3VP1	Solyc08g006230.2.1	SL2.40ch08	916374-919979	SL2.40ch08:916374..919979	GO:0003700
ABI3VP1	Solyc08g006240.1.1	SL2.40ch08	921931-925834	SL2.40ch08:921931..925834	GO:0006355
ABI3VP1	Solyc08g006260.1.1	SL2.40ch08	945014-948105	SL2.40ch08:945014..948105	GO:0003700
ABI3VP1	Solyc08g006270.1.1	SL2.40ch08	948787-953241	SL2.40ch08:948787..953241	GO:0006355
ABI3VP1	Solyc08g006280.1.1	SL2.40ch08	955990-960743	SL2.40ch08:955990..960743	GO:0006355
ABI3VP1	Solyc08g006490.1.1	SL2.40ch08	1082488-1084431	SL2.40ch08:1082488..1084431	GO:0006355
ABI3VP1	Solyc08g013690.1.1	SL2.40ch08	3060068-3061042	SL2.40ch08:3060068..3061042	GO:0003700
ABI3VP1	Solyc08g013700.1.1	SL2.40ch08	3068478-3069362	SL2.40ch08:3068478..3069362	GO:0003700
ABI3VP1	Solyc08g029090.2.1	SL2.40ch08	22654683-22657391	SL2.40ch08:22654683..22657391	GO:0006355
ABI3VP1	Solyc08g068540.2.1	SL2.40ch08	54893046-54896915	SL2.40ch08:54893046..54896915	GO:0006355
ABI3VP1	Solyc08g083400.2.1	SL2.40ch08	63026330-63027661	SL2.40ch08:63026330..63027661	GO:0006355
ABI3VP1	Solyc09g010230.1.1	SL2.40ch09	3624972-3628689	SL2.40ch09:3624972..3628689	GO:0003700
ABI3VP1	Solyc10g053890.1.1	SL2.40ch10	49646837-49647884	SL2.40ch10:49646837..49647884	GO:0006355
ABI3VP1	Solyc10g075030.1.1	SL2.40ch10	58049176-58060149	SL2.40ch10:58049176..58060149	GO:0003700
ABI3VP1	Solyc10g083210.1.1	SL2.40ch10	62400932-62405454	SL2.40ch10:62400932..62405454	GO:0006355
ABI3VP1	Solyc11g045450.1.1	SL2.40ch11	37946628-37948736	SL2.40ch11:37946628..37948736	GO:0006355
ABI3VP1	Solyc12g007300.1.1	SL2.40ch12	1699431-1700138	SL2.40ch12:1699431..1700138	GO:0006355
ABI3VP1	Solyc12g098460.1.1	SL2.40ch12	64297007-64298215	SL2.40ch12:64297007..64298215	GO:0006355
Alfin-like 	Solyc01g102750.2.1	SL2.40ch01	83245131-83250588	SL2.40ch01:83245131..83250588	"GO:0003677,GO:0035064"
Alfin-like 	Solyc01g102760.2.1	SL2.40ch01	83252023-83258088	SL2.40ch01:83252023..83258088	
Alfin-like 	Solyc05g032760.2.1	SL2.40ch05	44317368-44323410	SL2.40ch05:44317368..44323410	GO:0008270
Alfin-like 	Solyc06g051420.2.1	SL2.40ch06	31277366-31290088	SL2.40ch06:31277366..31290088	"GO:0003677,GO:0035064"
Alfin-like 	Solyc06g062850.2.1	SL2.40ch06	36037831-36043258	SL2.40ch06:36037831..36043258	"GO:0003677,GO:0035064"
Alfin-like 	Solyc07g041190.2.1	SL2.40ch07	49299701-49303716	SL2.40ch07:49299701..49303716	"GO:0003677,GO:0035064"
Alfin-like 	Solyc09g005360.2.1	SL2.40ch09	277584-286002	SL2.40ch09:277584..286002	"GO:0003677,GO:0035064"
Alfin-like 	Solyc10g076690.1.1	SL2.40ch10	58957075-58963034	SL2.40ch10:58957075..58963034	"GO:0003677,GO:0035064"
Alfin-like 	Solyc10g085180.1.1	SL2.40ch10	63775139-63780102	SL2.40ch10:63775139..63780102	GO:0008270
Alfin-like 	Solyc12g096040.1.1	SL2.40ch12	63453325-63461014	SL2.40ch12:63453325..63461014	GO:0008270
AP2-EREBP 	Solyc01g005630.1.1	SL2.40ch01	444880-445584	SL2.40ch01:444880..445584	"GO:0003677,GO:0006355"
AP2-EREBP 	Solyc01g008880.1.1	SL2.40ch01	2900649-2901248	SL2.40ch01:2900649..2901248	GO:0003677
AP2-EREBP	Solyc01g008890.2.1	SL2.40ch01	2910164-2911724	SL2.40ch01:2910164..2911724	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g009440.1.1	SL2.40ch01	3662862-3663494	SL2.40ch01:3662862..3663494	GO:0016563
AP2-EREBP	Solyc01g014720.1.1	SL2.40ch01	14595809-14596333	SL2.40ch01:14595809..14596333	GO:0003677
AP2-EREBP	Solyc01g057080.1.1	SL2.40ch01	51195128-51195469	SL2.40ch01:51195128..51195469	GO:0003677
AP2-EREBP	Solyc01g065980.2.1	SL2.40ch01	65175046-65177501	SL2.40ch01:65175046..65177501	GO:0003700
AP2-EREBP	Solyc01g067540.1.1	SL2.40ch01	68687673-68688638	SL2.40ch01:68687673..68688638	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g090300.2.1	SL2.40ch01	75727780-75728496	SL2.40ch01:75727780..75728496	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g090310.2.1	SL2.40ch01	75736121-75736820	SL2.40ch01:75736121..75736820	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g090320.2.1	SL2.40ch01	75741119-75741760	SL2.40ch01:75741119..75741760	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g090340.2.1	SL2.40ch01	75789643-75790630	SL2.40ch01:75789643..75790630	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g090370.1.1	SL2.40ch01	75831429-75832094	SL2.40ch01:75831429..75832094	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g090560.2.1	SL2.40ch01	75989194-75990408	SL2.40ch01:75989194..75990408	"GO:0005125,GO:0005138"
AP2-EREBP	Solyc01g091760.2.1	SL2.40ch01	77102050-77103010	SL2.40ch01:77102050..77103010	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g095500.2.1	SL2.40ch01	78502748-78503807	SL2.40ch01:78502748..78503807	GO:0003677
AP2-EREBP	Solyc01g096860.1.1	SL2.40ch01	79614838-79618588	SL2.40ch01:79614838..79618588	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc01g108240.2.1	SL2.40ch01	87368287-87369574	SL2.40ch01:87368287..87369574	GO:0003677
AP2-EREBP	Solyc02g030210.2.1	SL2.40ch02	16023195-16026741	SL2.40ch02:16023195..16026741	GO:0003677
AP2-EREBP	Solyc02g064960.2.1	SL2.40ch02	30651561-30655131	SL2.40ch02:30651561..30655131	GO:0003677
AP2-EREBP	Solyc02g067020.1.1	SL2.40ch02	31838645-31839547	SL2.40ch02:31838645..31839547	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc02g077360.1.1	SL2.40ch02	36895267-36896043	SL2.40ch02:36895267..36896043	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc02g077370.1.1	SL2.40ch02	36901000-36901485	SL2.40ch02:36901000..36901485	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc02g077790.1.1	SL2.40ch02	37223696-37223866	SL2.40ch02:37223696..37223866	GO:0003677
AP2-EREBP	Solyc02g077810.1.1	SL2.40ch02	37240776-37241321	SL2.40ch02:37240776..37241321	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc02g077840.1.1	SL2.40ch02	37265510-37265974	SL2.40ch02:37265510..37265974	"GO:0003700,GO:0016564"
AP2-EREBP	Solyc02g090770.1.1	SL2.40ch02	46858589-46859200	SL2.40ch02:46858589..46859200	GO:0003677
AP2-EREBP	Solyc02g090790.1.1	SL2.40ch02	46871204-46871887	SL2.40ch02:46871204..46871887	GO:0003677
AP2-EREBP	Solyc02g090800.1.1	SL2.40ch02	46874221-46874616	SL2.40ch02:46874221..46874616	GO:0003677
AP2-EREBP	Solyc02g092050.2.1	SL2.40ch02	47836352-47839882	SL2.40ch02:47836352..47839882	GO:0003677
AP2-EREBP	Solyc02g093130.1.1	SL2.40ch02	48631396-48631797	SL2.40ch02:48631396..48631797	GO:0003677
AP2-EREBP	Solyc02g093150.2.1	SL2.40ch02	48655673-48658630	SL2.40ch02:48655673..48658630	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc03g005500.1.1	SL2.40ch03	383586-383975	SL2.40ch03:383586..383975	GO:0003700
AP2-EREBP	Solyc03g005510.1.1	SL2.40ch03	387846-388373	SL2.40ch03:387846..388373	GO:0003700
AP2-EREBP	Solyc03g005520.1.1	SL2.40ch03	397152-397787	SL2.40ch03:397152..397787	"GO:0016563,GO:0003700"
AP2-EREBP	Solyc03g006320.1.1	SL2.40ch03	924278-924928	SL2.40ch03:924278..924928	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc03g007460.1.1	SL2.40ch03	2014935-2016125	SL2.40ch03:2014935..2016125	GO:0003677
AP2-EREBP	Solyc03g026270.1.1	SL2.40ch03	8091698-8092315	SL2.40ch03:8091698..8092315	GO:0016563
AP2-EREBP	Solyc03g026280.2.1	SL2.40ch03	8094816-8095712	SL2.40ch03:8094816..8095712	GO:0016563
AP2-EREBP	Solyc03g044300.2.1	SL2.40ch03	12742062-12746690	SL2.40ch03:12742062..12746690	GO:0003677
AP2-EREBP	Solyc03g083110.1.1	SL2.40ch03	46473739-46475572	SL2.40ch03:46473739..46475572	"GO:0003677,GO:0016564"
AP2-EREBP	Solyc03g093530.1.1	SL2.40ch03	48350256-48351303	SL2.40ch03:48350256..48351303	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc03g093540.1.1	SL2.40ch03	48354043-48354729	SL2.40ch03:48354043..48354729	"GO:0005515,GO:0003677"
AP2-EREBP	Solyc03g093550.1.1	SL2.40ch03	48374208-48374933	SL2.40ch03:48374208..48374933	"GO:0005515,GO:0003677"
AP2-EREBP	Solyc03g093560.1.1	SL2.40ch03	48392056-48392790	SL2.40ch03:48392056..48392790	"GO:0005515,GO:0003677"
AP2-EREBP	Solyc03g093610.1.1	SL2.40ch03	48476779-48477507	SL2.40ch03:48476779..48477507	"GO:0016563,GO:0003700"
AP2-EREBP	Solyc03g114440.1.1	SL2.40ch03	58497410-58497949	SL2.40ch03:58497410..58497949	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc03g116610.2.1	SL2.40ch03	60004948-60006047	SL2.40ch03:60004948..60006047	"GO:0043565,GO:0003700"
AP2-EREBP	Solyc03g117130.2.1	SL2.40ch03	60430763-60431498	SL2.40ch03:60430763..60431498	GO:0003700
AP2-EREBP	Solyc03g117230.1.1	SL2.40ch03	60480763-60481521	SL2.40ch03:60480763..60481521	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc03g117720.2.1	SL2.40ch03	60828177-60832436	SL2.40ch03:60828177..60832436	GO:0003677
AP2-EREBP	Solyc03g118190.2.1	SL2.40ch03	61186269-61187609	SL2.40ch03:61186269..61187609	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc03g119580.1.1	SL2.40ch03	62190256-62191413	SL2.40ch03:62190256..62191413	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc03g119800.1.1	SL2.40ch03	62423804-62424826	SL2.40ch03:62423804..62424826	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc03g120840.1.1	SL2.40ch03	63144160-63144909	SL2.40ch03:63144160..63144909	GO:0003677
AP2-EREBP	Solyc03g123430.2.1	SL2.40ch03	64336005-64339974	SL2.40ch03:64336005..64339974	GO:0003677
AP2-EREBP	Solyc03g123500.2.1	SL2.40ch03	64386170-64388613	SL2.40ch03:64386170..64388613	GO:0003677
AP2-EREBP	Solyc03g124110.1.1	SL2.40ch03	8097773-8098639	SL2.40ch03:8097773..8098639	GO:0016563
AP2-EREBP	Solyc04g007000.1.1	SL2.40ch04	728928-730046	SL2.40ch04:728928..730046	"GO:0003677,GO:0016564"
AP2-EREBP	Solyc04g007180.1.1	SL2.40ch04	874498-875505	SL2.40ch04:874498..875505	GO:0003677
AP2-EREBP	Solyc04g009450.1.1	SL2.40ch04	2859789-2861588	SL2.40ch04:2859789..2861588	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc04g012050.2.1	SL2.40ch04	4376146-4378819	SL2.40ch04:4376146..4378819	GO:0003677
AP2-EREBP	Solyc04g014530.1.1	SL2.40ch04	4802150-4802851	SL2.40ch04:4802150..4802851	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc04g049800.2.1	SL2.40ch04	42714973-42717503	SL2.40ch04:42714973..42717503	GO:0003677
AP2-EREBP	Solyc04g050750.1.1	SL2.40ch04	47337687-47338172	SL2.40ch04:47337687..47338172	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc04g051360.2.1	SL2.40ch04	49576579-49578019	SL2.40ch04:49576579..49578019	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc04g054910.2.1	SL2.40ch04	52554444-52556186	SL2.40ch04:52554444..52556186	GO:0003677
AP2-EREBP	Solyc04g071770.2.1	SL2.40ch04	56338949-56340665	SL2.40ch04:56338949..56340665	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc04g072300.1.1	SL2.40ch04	56931578-56932060	SL2.40ch04:56931578..56932060	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc04g072900.1.1	SL2.40ch04	57461458-57462252	SL2.40ch04:57461458..57462252	"GO:0005515,GO:0003677"
AP2-EREBP	Solyc04g077490.2.1	SL2.40ch04	60022685-60026057	SL2.40ch04:60022685..60026057	GO:0003677
AP2-EREBP	Solyc04g078640.1.1	SL2.40ch04	60925634-60926080	SL2.40ch04:60925634..60926080	GO:0003677
AP2-EREBP	Solyc04g080910.1.1	SL2.40ch04	62552994-62553740	SL2.40ch04:62552994..62553740	GO:0003677
AP2-EREBP	Solyc05g009250.1.1	SL2.40ch05	3385767-3387361	SL2.40ch05:3385767..3387361	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc05g009450.1.1	SL2.40ch05	3621438-3622463	SL2.40ch05:3621438..3622463	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc05g009790.1.1	SL2.40ch05	3987084-3988271	SL2.40ch05:3987084..3988271	"GO:0003677,GO:0016564"
AP2-EREBP	Solyc05g013540.1.1	SL2.40ch05	6814092-6815252	SL2.40ch05:6814092..6815252	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc05g050790.1.1	SL2.40ch05	60126863-60127432	SL2.40ch05:60126863..60127432	GO:0003677
AP2-EREBP	Solyc05g050830.1.1	SL2.40ch05	60197369-60198130	SL2.40ch05:60197369..60198130	"GO:0005125,GO:0005138"
AP2-EREBP	Solyc05g051180.1.1	SL2.40ch05	60577494-60578126	SL2.40ch05:60577494..60578126	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc05g051200.1.1	SL2.40ch05	60588307-60588981	SL2.40ch05:60588307..60588981	"GO:0016563,GO:0003700"
AP2-EREBP	Solyc05g051380.2.1	SL2.40ch05	60811976-60816514	SL2.40ch05:60811976..60816514	GO:0003677
AP2-EREBP	Solyc05g052030.1.1	SL2.40ch05	61516679-61517284	SL2.40ch05:61516679..61517284	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc05g052040.1.1	SL2.40ch05	61530247-61531344	SL2.40ch05:61530247..61531344	GO:0003700
AP2-EREBP	Solyc05g052050.1.1	SL2.40ch05	61543529-61544233	SL2.40ch05:61543529..61544233	"GO:0016563,GO:0003700"
AP2-EREBP	Solyc05g052410.1.1	SL2.40ch05	61781895-61783094	SL2.40ch05:61781895..61783094	GO:0016563
AP2-EREBP	Solyc06g035700.1.1	SL2.40ch06	21428094-21428630	SL2.40ch06:21428094..21428630	"GO:0016563,GO:0003677"
AP2-EREBP	Solyc06g050520.1.1	SL2.40ch06	29703325-29704227	SL2.40ch06:29703325..29704227	GO:0003677
AP2-EREBP	Solyc06g051840.1.1	SL2.40ch06	32043471-32044523	SL2.40ch06:32043471..32044523	GO:0003677
AP2-EREBP	Solyc06g053240.2.1	SL2.40ch06	32456931-32457317	SL2.40ch06:32456931..32457317	GO:0006355
AP2-EREBP	Solyc06g054630.1.1	SL2.40ch06	33847023-33847736	SL2.40ch06:33847023..33847736	"GO:0005840,GO:0003677,GO:0006355"
AP2-EREBP	Solyc06g063070.2.1	SL2.40ch06	36207061-36209812	SL2.40ch06:36207061..36209812	GO:0003677
AP2-EREBP	Solyc06g065820.2.1	SL2.40ch06	37639581-37641049	SL2.40ch06:37639581..37641049	GO:0003700
AP2-EREBP	Solyc06g066390.1.1	SL2.40ch06	38069178-38070922	SL2.40ch06:38069178..38070922	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc06g066540.1.1	SL2.40ch06	38187500-38188078	SL2.40ch06:38187500..38188078	GO:0003677
AP2-EREBP	Solyc06g068360.2.1	SL2.40ch06	38738369-38739279	SL2.40ch06:38738369..38739279	GO:0003700
AP2-EREBP	Solyc06g068570.2.1	SL2.40ch06	38890176-38895396	SL2.40ch06:38890176..38895396	GO:0003677
AP2-EREBP	Solyc06g068830.1.1	SL2.40ch06	39042342-39043537	SL2.40ch06:39042342..39043537	GO:0003677
AP2-EREBP	Solyc06g075510.2.1	SL2.40ch06	43255163-43258759	SL2.40ch06:43255163..43258759	GO:0003677
AP2-EREBP	Solyc06g082590.1.1	SL2.40ch06	44653700-44654446	SL2.40ch06:44653700..44654446	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc07g018290.2.1	SL2.40ch07	10023972-10028265	SL2.40ch07:10023972..10028265	GO:0043565
AP2-EREBP	Solyc07g042230.1.1	SL2.40ch07	52615428-52615931	SL2.40ch07:52615428..52615931	"GO:0016563,GO:0003677"
AP2-EREBP	Solyc07g049490.1.1	SL2.40ch07	57088001-57088597	SL2.40ch07:57088001..57088597	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc07g053740.1.1	SL2.40ch07	59491419-59492096	SL2.40ch07:59491419..59492096	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc07g054220.1.1	SL2.40ch07	59897642-59898814	SL2.40ch07:59897642..59898814	GO:0003677
AP2-EREBP	Solyc07g064890.1.1	SL2.40ch07	64094550-64095272	SL2.40ch07:64094550..64095272	"GO:0005515,GO:0003700"
AP2-EREBP	Solyc08g007230.1.1	SL2.40ch08	1811001-1811600	SL2.40ch08:1811001..1811600	GO:0003700
AP2-EREBP	Solyc08g007820.1.1	SL2.40ch08	2326801-2327535	SL2.40ch08:2326801..2327535	GO:0016563
AP2-EREBP	Solyc08g007830.1.1	SL2.40ch08	2339009-2339698	SL2.40ch08:2339009..2339698	GO:0016563
AP2-EREBP	Solyc08g066660.1.1	SL2.40ch08	52686293-52686949	SL2.40ch08:52686293..52686949	GO:0003677
AP2-EREBP	Solyc08g076380.1.1	SL2.40ch08	57521707-57523672	SL2.40ch08:57521707..57523672	GO:0003677
AP2-EREBP	Solyc08g078170.1.1	SL2.40ch08	59163031-59163744	SL2.40ch08:59163031..59163744	GO:0003700
AP2-EREBP	Solyc08g078180.1.1	SL2.40ch08	59176654-59177358	SL2.40ch08:59176654..59177358	"GO:0016563,GO:0003700"
AP2-EREBP	Solyc08g078190.1.1	SL2.40ch08	59192455-59193423	SL2.40ch08:59192455..59193423	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc08g078410.1.1	SL2.40ch08	59388193-59388636	SL2.40ch08:59388193..59388636	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc08g078420.1.1	SL2.40ch08	59396497-59396940	SL2.40ch08:59396497..59396940	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc08g080290.2.1	SL2.40ch08	60773586-60774903	SL2.40ch08:60773586..60774903	"GO:0016563,GO:0003677"
AP2-EREBP	Solyc08g081650.1.1	SL2.40ch08	61803221-61805947	SL2.40ch08:61803221..61805947	"GO:0003700,GO:0016564"
AP2-EREBP	Solyc08g081670.1.1	SL2.40ch08	61809819-61810844	SL2.40ch08:61809819..61810844	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc08g081960.1.1	SL2.40ch08	62045738-62046757	SL2.40ch08:62045738..62046757	GO:0003677
AP2-EREBP	Solyc08g082210.2.1	SL2.40ch08	62221339-62222646	SL2.40ch08:62221339..62222646	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc09g007260.2.1	SL2.40ch09	856629-859952	SL2.40ch09:856629..859952	GO:0003677
AP2-EREBP	Solyc09g009240.1.1	SL2.40ch09	2617577-2618185	SL2.40ch09:2617577..2618185	"GO:0016563,GO:0003677"
AP2-EREBP	Solyc09g059510.2.1	SL2.40ch09	50196312-50202155	SL2.40ch09:50196312..50202155	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc09g066340.1.1	SL2.40ch09	60368801-60369196	SL2.40ch09:60368801..60369196	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc09g066350.1.1	SL2.40ch09	60379419-60379889	SL2.40ch09:60379419..60379889	"GO:0003677,GO:0006355"
AP2-EREBP	Solyc09g066360.1.1	SL2.40ch09	60391559-60392140	SL2.40ch09:60391559..60392140	"GO:0016563,GO:0003700"
AP2-EREBP	Solyc09g075420.2.1	SL2.40ch09	62625026-62626247	SL2.40ch09:62625026..62626247	GO:0003677
